filename,type,title,description,category,poster
./sposho/0E49F710-6E62-442B-A47F-43E915BDE388.jpeg,image,朝の山,稜線に日が差す,スポ少県大会,
./sposho/1A2D8CDF-80DC-4ABA-A91A-40BE27FC0331.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/7BCBCDFF-8602-4355-A54B-47CDE7A5073A.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/9F5F142B-9B12-42E5-AE65-64F2EB260274.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/94E95CF8-D00B-4546-9D0F-CFE044EB2E7D.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/567E9BE8-E9C5-471A-A630-D924ECF68CE0.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/A5749EA2-3FAE-4BA4-8C52-ED0797278D59.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/D55C0566-B7FA-48E3-977F-D47CC6A9162E.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/D5429A8C-7121-4E8D-AD81-EC3AA6B14AD6.jpeg,image,交差点,人と車の流れ,スポ少県大会,
./sposho/IMG_8744.MOV,video,交差点,人と車の流れ,練習,